hidden_size,batch_size,learning_rate,step,train_loss,valid_loss,valid_nse,file_name,normalization,seq_length
128,2048,0.001,1,0.177017584,0.023159059,-0.932391822,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,2,0.114886932,0.021050766,-0.840494037,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,3,0.099258818,0.019306332,-0.752797425,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,4,0.086445823,0.019595407,-0.792226076,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,5,0.076335445,0.021998513,-0.735751331,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,6,0.062785894,0.019397516,-0.797368824,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,7,0.052828178,0.019980516,-0.769427121,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,8,0.045493152,0.021558512,-0.747535944,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,9,0.040986966,0.020892825,-0.746316433,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,10,0.039249796,0.026220504,-0.831539869,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,11,0.037496436,0.023596162,-0.79353559,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,12,0.034612507,0.023044297,-0.762777269,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,13,0.034134645,0.023797933,-0.754024744,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,14,0.031648442,0.025077486,-0.789287329,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.001,15,0.030032191,0.028210759,-0.881751359,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate0001_2712_223246,training_zscore,36
128,2048,0.01,1,0.154871181,0.021434059,-0.764121175,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,2,0.130748123,0.020769278,-1.097788453,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,3,0.116729319,0.020217443,-0.727297664,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,4,0.115297481,0.020586852,-0.820549726,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,5,0.113563426,0.018741932,-0.734807968,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,6,0.113476984,0.020748535,-0.793939352,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,7,0.107742451,0.022820674,-0.735509515,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,8,0.108250402,0.018999137,-0.764863491,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,9,0.107403621,0.028105341,-0.914351821,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,10,0.100326411,0.021201236,-0.805875242,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,11,0.104549445,0.021233816,-0.825071812,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,12,0.089075156,0.020993119,-0.762028039,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,13,0.088507108,0.02246833,-0.799657464,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,14,0.089513205,0.024140431,-0.772715867,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,2048,0.01,15,0.082241274,0.023782058,-0.776016593,HPC_training_zscore_norm_hidden_size128_batch_size2048_learning_rate001_2712_232621,training_zscore,36
128,512,0.001,1,0.143239141,0.015174039,-0.769734383,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
