run_title,basin,learning_rate,seq_length,hidden_size,batch_size,epoch,autoregressive_inputs,dynamic_inputs,RMSE,NSE,Peak-Timing,normalization,comments,folder_path,basin_name
Reference,il_14120,,,,,,,,4.46,0.78,17.9,,observation to lagged metrics (reference),,HADERA - GAN SHEMU'EL
Reference,il_15120,,,,,,,,2.07,0.86,25.7,,observation to lagged metrics (reference),,ALEXANDER - ELYASHIV
Reference,il_19160,,,,,,,,0.01,0.36,18,,observation to lagged metrics (reference),,HAELA - TEL ZAFIT
Reference,il_2105,,,,,,,,0.28,0.73,18,,observation to lagged metrics (reference),,KEZIV - HAZIV BRIDGE
Reference,il_30170,,,,,,,,0.12,0.52,17.6,,observation to lagged metrics (reference),,HAZOR - AYYELET HASHAHAR
Reference,il_4110,,,,,,,,0.06,0.85,17.4,,observation to lagged metrics (reference),,GA'TON - BEN 'AMMI
Reference,il_8146,,,,,,,,1.34,0.74,18,,observation to lagged metrics (reference),,QISHON - THE QUARRY
Reference,il_8155,,,,,,,,0.18,0.93,17.9,,observation to lagged metrics (reference),,ZIPPORI - TEL ALIL
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_14120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.65,0.762,11.9,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_15120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.86,0.887,17.3,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_19160,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0203,-1.58,38.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_2105,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.263,0.772,35.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_30170,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.125,0.494,11.8,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_4110,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0697,0.803,18.4,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_8146,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.18,0.799,16.2,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_162351,il_8155,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.225,0.892,20.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_14120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.5,0.778,12.9,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_15120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.7,0.906,23.6,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_19160,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0283,-4.01,25,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_2105,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.27,0.759,16.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_30170,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.126,0.486,18.8,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_4110,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0876,0.688,20.8,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_8146,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.03,0.848,33.2,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_174943,il_8155,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.209,0.906,19.9,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_14120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.84,0.743,13.9,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_15120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.81,0.893,20.9,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_19160,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0204,-1.59,9,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_2105,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.322,0.658,28.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_30170,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.125,0.494,20.6,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_4110,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0683,0.811,21.3,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_8146,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1,0.857,21.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_191511,il_8155,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.161,0.945,9.12,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_14120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",5.64,0.651,13.7,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_15120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",2.14,0.85,28,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_19160,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0288,-4.19,29.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_2105,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.272,0.756,27.5,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_30170,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.129,0.46,10.4,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_4110,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0873,0.691,19.7,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_8146,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.949,0.871,19.3,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_204055,il_8155,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.267,0.847,18.4,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_14120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.52,0.775,11.3,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_15120,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",2.06,0.861,25.7,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_19160,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0185,-1.14,18,zscore,"z-score normalization, ensemble run",,
Best_HPC_training_zscore_norm_ensemble_hidden_size128_batch_size512_learning_rate0001_2812_220640,il_2105,{0: 0.001},36,128,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.282,0.738,55,zscore,"z-score normalization, ensemble run",,
