fid,station_id,station_x,station_y,gauge_id,gauge_name,n,distance,gauge_x,gauge_y
1,il_17110,216143,672711,21,ARIEL,1,6143,220169,668072
1,il_17110,216143,672711,20,QARNE SHOMERON,2,6933,209510,674730
1,il_17110,216143,672711,90,ITAMAR,3,17069,233091,674735
1,il_17110,216143,672711,24,HAR HARASHA,4,23892,214308,648890
2,il_17117,219217,661522,21,ARIEL,1,6618,220169,668072
2,il_17117,219217,661522,24,HAR HARASHA,2,13553,214308,648890
2,il_17117,219217,661522,20,QARNE SHOMERON,3,16391,209510,674730
2,il_17117,219217,661522,90,ITAMAR,4,19159,233091,674735
2,il_17117,219217,661522,30,GILGAL,5,24488,242664,654459
3,il_17144,200360,642140,259,NAHSHON,1,5767,196411,637937
3,il_17144,200360,642140,24,HAR HARASHA,2,15496,214308,648890
3,il_17144,200360,642140,121,HAFEZ HAYYIM,3,20743,181532,633434
3,il_17144,200360,642140,25,NETIV HALAMED HE,4,21037,198459,621189
3,il_17144,200360,642140,22,JERUSALEM GIVAT RAM,5,21541,218751,630925
4,il_17155,209275,650326,24,HAR HARASHA,1,5234,214308,648890
4,il_17155,209275,650326,259,NAHSHON,2,17860,196411,637937
4,il_17155,209275,650326,21,ARIEL,3,20823,220169,668072
4,il_17155,209275,650326,22,JERUSALEM GIVAT RAM,4,21592,218751,630925
4,il_17155,209275,650326,23,JERUSALEM CENTRE,5,21792,221119,632034
5,il_17162,199712,657142,24,HAR HARASHA,1,16767,214308,648890
5,il_17162,199712,657142,54,BET DAGAN,2,17149,182565,657383
5,il_17162,199712,657142,259,NAHSHON,3,19486,196411,637937
5,il_17162,199712,657142,20,QARNE SHOMERON,4,20133,209510,674730
5,il_17162,199712,657142,178,TEL AVIV COAST,5,23064,177391,662947
6,il_17164,203949,646103,24,HAR HARASHA,1,10728,214308,648890
6,il_17164,203949,646103,259,NAHSHON,2,11113,196411,637937
6,il_17164,203949,646103,22,JERUSALEM GIVAT RAM,3,21201,218751,630925
6,il_17164,203949,646103,23,JERUSALEM CENTRE,4,22198,221119,632034
6,il_17164,203949,646103,54,BET DAGAN,5,24177,182565,657383
7,il_17168,200357,649311,259,NAHSHON,1,12039,196411,637937
7,il_17168,200357,649311,24,HAR HARASHA,2,13957,214308,648890
7,il_17168,200357,649311,54,BET DAGAN,3,19537,182565,657383
7,il_17168,200357,649311,121,HAFEZ HAYYIM,4,24627,181532,633434
7,il_17168,200357,649311,22,JERUSALEM GIVAT RAM,5,26008,218751,630925
8,il_17123,219423,661498,21,ARIEL,1,6617,220169,668072
8,il_17123,219423,661498,24,HAR HARASHA,2,13606,214308,648890
8,il_17123,219423,661498,20,QARNE SHOMERON,3,16534,209510,674730
8,il_17123,219423,661498,90,ITAMAR,4,19027,233091,674735
8,il_17123,219423,661498,30,GILGAL,5,24283,242664,654459
9,il_17135,210672,667781,20,QARNE SHOMERON,1,7045,209510,674730
9,il_17135,210672,667781,21,ARIEL,2,9501,220169,668072
9,il_17135,210672,667781,24,HAR HARASHA,3,19238,214308,648890
9,il_17135,210672,667781,90,ITAMAR,4,23472,233091,674735
9,il_17135,210672,667781,54,BET DAGAN,5,29969,182565,657383
10,il_12130,204687,723049,67,EN HASHOFET,1,5983,209561,726519
10,il_12130,204687,723049,45,ZIKHRON YAAQOV,2,9939,195561,719112
10,il_12130,204687,723049,44,EN KARMEL,3,12091,196530,731974
10,il_12130,204687,723049,186,NEWE YAAR,4,17169,217070,734942
10,il_12130,204687,723049,42,HAIFA UNIVERSITY,5,17950,202267,740835
11,il_12140,202513,722992,67,EN HASHOFET,1,7881,209561,726519
11,il_12140,202513,722992,45,ZIKHRON YAAQOV,2,7962,195561,719112
11,il_12140,202513,722992,44,EN KARMEL,3,10792,196530,731974
11,il_12140,202513,722992,42,HAIFA UNIVERSITY,4,17845,202267,740835
11,il_12140,202513,722992,43,HAIFA TECHNION,5,18301,201799,741279
12,il_13105,207369,718876,67,EN HASHOFET,1,7951,209561,726519
12,il_13105,207369,718876,45,ZIKHRON YAAQOV,2,11810,195561,719112
12,il_13105,207369,718876,44,EN KARMEL,3,17002,196530,731974
12,il_13105,207369,718876,186,NEWE YAAR,4,18768,217070,734942
12,il_13105,207369,718876,46,HADERA PORT,5,20681,189239,708926
13,il_13125,205216,715583,45,ZIKHRON YAAQOV,1,10279,195561,719112
13,il_13125,205216,715583,67,EN HASHOFET,2,11768,209561,726519
13,il_13125,205216,715583,46,HADERA PORT,3,17308,189239,708926
13,il_13125,205216,715583,44,EN KARMEL,4,18550,196530,731974
13,il_13125,205216,715583,186,NEWE YAAR,5,22700,217070,734942
14,il_13135,206135,713564,45,ZIKHRON YAAQOV,1,11941,195561,719112
14,il_13135,206135,713564,67,EN HASHOFET,2,13400,209561,726519
14,il_13135,206135,713564,46,HADERA PORT,3,17521,189239,708926
14,il_13135,206135,713564,44,EN KARMEL,4,20765,196530,731974
14,il_13135,206135,713564,186,NEWE YAAR,5,24012,217070,734942
15,il_13146,204124,713692,45,ZIKHRON YAAQOV,1,10134,195561,719112
15,il_13146,204124,713692,67,EN HASHOFET,2,13931,209561,726519
15,il_13146,204124,713692,46,HADERA PORT,3,15630,189239,708926
15,il_13146,204124,713692,44,EN KARMEL,4,19796,196530,731974
15,il_13146,204124,713692,186,NEWE YAAR,5,24883,217070,734942
16,il_14115,207994,711078,45,ZIKHRON YAAQOV,1,14803,195561,719112
16,il_14115,207994,711078,67,EN HASHOFET,2,15520,209561,726519
16,il_14115,207994,711078,46,HADERA PORT,3,18878,189239,708926
16,il_14115,207994,711078,44,EN KARMEL,4,23834,196530,731974
16,il_14115,207994,711078,186,NEWE YAAR,5,25531,217070,734942
17,il_14120,215445,701152,224,MAALE GILBOA,1,25283,239248,709677
17,il_14120,215445,701152,67,EN HASHOFET,2,26040,209561,726519
17,il_14120,215445,701152,45,ZIKHRON YAAQOV,3,26794,195561,719112
17,il_14120,215445,701152,20,QARNE SHOMERON,4,27081,209510,674730
17,il_14120,215445,701152,46,HADERA PORT,5,27335,189239,708926
18,il_15120,208364,687499,20,QARNE SHOMERON,1,12820,209510,674730
18,il_15120,208364,687499,21,ARIEL,2,22733,220169,668072
18,il_15120,208364,687499,90,ITAMAR,3,27827,233091,674735
18,il_15120,208364,687499,46,HADERA PORT,4,28721,189239,708926
19,il_30145,255062,803083,241,KEFAR GILADI,1,9209,253526,794003
19,il_30145,255062,803083,202,KEFAR BLUM,2,16794,257563,786476
19,il_30145,255062,803083,10,MEROM GOLAN PICMAN,3,27885,273444,782114
20,il_30155,268268,784201,10,MEROM GOLAN PICMAN,1,5580,273444,782114
20,il_30155,268268,784201,202,KEFAR BLUM,2,10945,257563,786476
20,il_30155,268268,784201,241,KEFAR GILADI,3,17704,253526,794003
20,il_30155,268268,784201,227,GAMLA,4,27245,270307,757032
20,il_30155,268268,784201,62,ZEFAT HAR KENAAN,5,27934,247737,765259
21,il_30165,244413,773388,62,ZEFAT HAR KENAAN,1,8782,247737,765259
21,il_30165,244413,773388,123,AMMIAD,2,16486,250190,757947
21,il_30165,244413,773388,269,HARASHIM,3,17369,231009,762342
